Sale_ID,Order_Date,Customer_ID,Product_ID,Channel_ID,Quantity_Sold,Discount_Percentage
70,2023-03-31,C0008,P00041,CH00003,8,14.64
71,2021-11-30,C0037,P00057,CH00003,5,28.75
72,2022-08-31,C0040,P00031,CH00002,8,10.5
73,2024-06-30,C0042,P00002,CH00002,7,27.29
74,2022-12-31,C0004,P00035,CH00001,8,15.46
75,2023-12-31,C0084,P00014,CH00001,9,15.76
76,2023-04-30,C0029,P00042,CH00003,4,19.81
77,2024-09-30,C0011,P00047,CH00002,4,11.49
78,2023-06-30,C0023,P00058,CH00003,4,25.46
79,2024-11-30,C0073,P00052,CH00003,10,15.14
80,2022-10-31,C0073,P00030,CH00002,10,7.86
81,2023-05-31,C0037,P00037,CH00003,5,7.62
82,2023-07-31,C0038,P00040,CH00003,6,13.01
83,2024-05-31,C0061,P00024,CH00001,4,4.37
84,2021-08-31,C0075,P00030,CH00002,4,15.5
85,2022-07-31,C0097,P00048,CH00001,6,25.08
86,2021-09-30,C0085,P00025,CH00001,1,28.65
87,2022-01-31,C0086,P00055,CH00002,10,8.5
88,2021-11-30,C0045,P00043,CH00003,7,26.0
89,2021-05-31,C0040,P00053,CH00001,9,14.84
90,2021-01-31,C0027,P00025,CH00001,6,12.09
91,2023-05-31,C0008,P00007,CH00001,5,1.07
92,2022-01-31,C0027,P00032,CH00001,4,11.6
93,2022-02-28,C0051,P00045,CH00001,8,18.74
94,2021-03-31,C0043,P00024,CH00001,9,0.86
95,2021-02-28,C0073,P00040,CH00001,6,26.91
96,2023-06-30,C0057,P00027,CH00002,3,9.25
97,2024-07-31,C0021,P00047,CH00001,8,11.85
98,2022-09-30,C0071,P00019,CH00002,7,0.17
99,2023-08-31,C0067,P00033,CH00002,2,15.66
100,2023-02-28,C0036,P00003,CH00003,10,20.21
101,2022-08-31,C0094,P00018,CH00003,9,16.86
102,2021-06-30,C0028,P00011,CH00003,5,5.86
103,2024-03-31,C0097,P00023,CH00003,6,19.24
104,2023-01-31,C0034,P00013,CH00003,6,7.01
105,2021-04-30,C0029,P00023,CH00001,10,28.78
106,2022-04-30,C0026,P00060,CH00001,4,28.67
107,2023-02-28,C0041,P00024,CH00001,1,28.79
108,2024-02-29,C0086,P00016,CH00001,9,15.59
109,2024-03-31,C0022,P00021,CH00003,3,10.63
110,2024-01-31,C0033,P00016,CH00002,6,12.52
111,2022-06-30,C0066,P00031,CH00003,6,9.17
112,2024-08-31,C0054,P00002,CH00001,10,8.11
113,2021-06-30,C0027,P00028,CH00001,7,17.32
114,2023-08-31,C0018,P00041,CH00002,3,26.78
115,2024-04-30,C0054,P00026,CH00001,3,29.4
116,2021-01-31,C0013,P00036,CH00003,3,24.05
117,2022-11-30,C0027,P00009,CH00002,5,14.56
118,2023-07-31,C0037,P00045,CH00001,8,20.6
119,2021-04-30,C0074,P00006,CH00001,3,22.23
120,2023-03-31,C0018,P00048,CH00003,1,8.19
121,2022-12-31,C0026,P00006,CH00003,8,23.74
122,2021-05-31,C0070,P00050,CH00001,9,8.73
123,2023-05-31,C0084,P00027,CH00001,5,22.88
124,2022-09-30,C0005,P00005,CH00002,2,11.0
125,2022-11-30,C0037,P00009,CH00002,2,22.06
126,2022-10-31,C0043,P00018,CH00003,6,7.77
127,2023-12-31,C0031,P00022,CH00001,6,24.32
128,2023-06-30,C0013,P00008,CH00001,3,1.47
129,2024-07-31,C0047,P00053,CH00002,10,10.71
130,2024-02-29,C0034,P00046,CH00001,9,16.42
131,2021-02-28,C0090,P00040,CH00003,7,28.53
132,2024-12-31,C0062,P00019,CH00002,2,21.67
133,2023-08-31,C0024,P00053,CH00001,8,0.73
134,2022-09-30,C0045,P00059,CH00002,10,1.64
135,2024-06-30,C0094,P00010,CH00003,1,17.79
136,2023-11-30,C0077,P00052,CH00002,9,23.09
137,2024-11-30,C0017,P00001,CH00003,7,1.73
138,2021-07-31,C0033,P00020,CH00002,6,2.49
139,2024-08-31,C0080,P00007,CH00001,10,9.82
140,2022-09-30,C0019,P00037,CH00003,1,17.22
141,2024-02-29,C0025,P00008,CH00003,2,4.49
142,2021-10-31,C0039,P00021,CH00001,8,24.52
143,2021-02-28,C0085,P00032,CH00001,5,20.53
144,2024-08-31,C0025,P00043,CH00002,1,11.57
145,2024-05-31,C0046,P00003,CH00001,6,19.3
146,2021-03-31,C0071,P00019,CH00001,7,15.84
147,2022-07-31,C0091,P00055,CH00003,6,11.24
148,2024-08-31,C0013,P00041,CH00001,6,12.99
149,2023-09-30,C0082,P00027,CH00003,10,20.6
150,2023-11-30,C0053,P00050,CH00002,6,28.63
151,2022-07-31,C0007,P00014,CH00001,3,15.74
152,2024-04-30,C0024,P00004,CH00002,4,23.32
153,2023-12-31,C0007,P00013,CH00002,3,0.81
154,2024-08-31,C0028,P00043,CH00002,8,3.25
155,2022-04-30,C0008,P00056,CH00003,4,6.06
156,2023-06-30,C0004,P00028,CH00001,1,8.56
157,2021-05-31,C0004,P00045,CH00001,4,4.38
158,2021-08-31,C0022,P00058,CH00001,2,23.74
159,2022-11-30,C0092,P00017,CH00003,5,14.82
160,2021-11-30,C0097,P00012,CH00001,3,20.46
161,2022-03-31,C0064,P00038,CH00002,10,3.15
162,2021-04-30,C0088,P00029,CH00002,8,18.54
163,2024-02-29,C0096,P00021,CH00002,9,11.56
164,2023-01-31,C0066,P00050,CH00001,2,11.27
165,2022-03-31,C0088,P00050,CH00002,7,16.97
166,2021-06-30,C0013,P00050,CH00002,2,18.1
167,2022-08-31,C0030,P00047,CH00003,3,21.48
168,2022-01-31,C0046,P00018,CH00001,7,9.22
169,2021-09-30,C0062,P00038,CH00003,10,11.56
170,2022-08-31,C0022,P00018,CH00001,2,18.28
171,2023-12-31,C0031,P00053,CH00001,10,17.79
172,2021-07-31,C0004,P00023,CH00002,6,2.96
173,2023-02-28,C0039,P00009,CH00002,4,25.33
174,2022-06-30,C0043,P00023,CH00001,9,1.17
175,2021-08-31,C0043,P00015,CH00003,10,29.16
176,2024-09-30,C0029,P00050,CH00003,2,24.48
177,2023-07-31,C0056,P00012,CH00001,9,26.52
178,2023-03-31,C0020,P00007,CH00003,2,13.21
179,2023-11-30,C0077,P00036,CH00002,9,14.25
180,2021-08-31,C0037,P00024,CH00003,6,20.52
181,2022-02-28,C0013,P00049,CH00002,6,17.64
182,2024-03-31,C0018,P00059,CH00001,10,3.41
183,2021-11-30,C0087,P00019,CH00002,10,4.76
184,2024-07-31,C0052,P00033,CH00003,4,24.35
185,2022-05-31,C0092,P00033,CH00001,10,22.82
186,2024-10-31,C0061,P00052,CH00002,7,7.53
187,2023-12-31,C0019,P00049,CH00001,10,4.11
188,2023-04-30,C0093,P00041,CH00002,6,24.55
189,2021-01-31,C0096,P00015,CH00003,10,11.83
190,2023-11-30,C0076,P00005,CH00002,10,27.82
191,2023-07-31,C0028,P00004,CH00001,9,8.86
192,2022-05-31,C0070,P00036,CH00001,5,7.38
193,2023-04-30,C0012,P00003,CH00003,9,22.18
194,2024-06-30,C0030,P00034,CH00002,2,7.94
195,2024-03-31,C0062,P00026,CH00002,8,19.45
196,2023-02-28,C0049,P00053,CH00003,6,10.3
197,2022-10-31,C0005,P00045,CH00002,3,2.53
198,2024-11-30,C0025,P00052,CH00001,7,9.35
199,2023-01-31,C0079,P00043,CH00003,10,7.39
200,2022-04-30,C0024,P00030,CH00003,3,8.2
201,2021-05-31,C0007,P00033,CH00001,2,10.78
202,2021-03-31,C0035,P00016,CH00003,1,25.81
203,2024-10-31,C0045,P00045,CH00001,8,9.18
204,2024-11-30,C0074,P00019,CH00003,5,11.44
205,2024-10-31,C0027,P00011,CH00001,10,9.38
206,2023-08-31,C0039,P00046,CH00002,1,23.21
207,2022-04-30,C0012,P00039,CH00001,10,20.76
208,2021-07-31,C0067,P00010,CH00003,6,3.17
209,2021-01-31,C0066,P00037,CH00002,1,16.7
210,2023-01-31,C0022,P00015,CH00002,9,28.42
211,2023-04-30,C0078,P00029,CH00003,10,26.09
212,2023-09-30,C0026,P00023,CH00003,8,28.76
213,2021-10-31,C0070,P00017,CH00001,3,13.91
214,2023-09-30,C0060,P00007,CH00001,2,5.26
215,2022-08-31,C0047,P00054,CH00002,2,25.56
216,2023-06-30,C0059,P00018,CH00003,4,17.56
217,2023-08-31,C0094,P00054,CH00001,10,6.11
218,2024-03-31,C0084,P00013,CH00001,3,12.08
219,2023-10-31,C0064,P00046,CH00003,8,24.84
220,2022-09-30,C0059,P00002,CH00003,6,11.76
221,2021-11-30,C0016,P00008,CH00001,7,2.81
222,2022-04-30,C0076,P00060,CH00002,4,18.77
223,2022-03-31,C0096,P00034,CH00002,10,24.11
224,2021-11-30,C0001,P00053,CH00002,8,5.73
225,2023-02-28,C0086,P00013,CH00001,7,0.47
226,2021-11-30,C0028,P00003,CH00002,8,25.54
227,2022-12-31,C0093,P00009,CH00001,8,14.87
228,2024-09-30,C0094,P00009,CH00001,3,4.59
229,2024-07-31,C0076,P00041,CH00001,8,27.49
230,2024-12-31,C0095,P00048,CH00003,5,24.86
231,2021-08-31,C0030,P00052,CH00003,1,25.57
232,2024-03-31,C0047,P00036,CH00001,9,21.56
233,2024-05-31,C0057,P00011,CH00001,3,29.24
234,2024-07-31,C0037,P00018,CH00002,7,23.69
235,2023-11-30,C0083,P00057,CH00003,5,28.27
236,2023-10-31,C0100,P00024,CH00003,9,3.93
237,2024-02-29,C0094,P00055,CH00003,3,0.64
238,2023-09-30,C0058,P00009,CH00003,1,29.61
239,2023-08-31,C0025,P00054,CH00002,10,15.04
240,2022-03-31,C0011,P00025,CH00001,9,3.28
241,2022-05-31,C0060,P00054,CH00001,9,14.74
242,2024-05-31,C0010,P00042,CH00003,9,0.66
243,2022-08-31,C0001,P00060,CH00002,9,16.72
244,2024-03-31,C0033,P00039,CH00003,5,11.44
245,2021-01-31,C0020,P00012,CH00002,7,24.01
246,2024-01-31,C0047,P00040,CH00003,9,17.81
247,2022-10-31,C0092,P00004,CH00001,3,28.42
248,2021-12-31,C0010,P00056,CH00002,2,21.44
249,2023-08-31,C0008,P00037,CH00003,1,15.38
250,2023-09-30,C0065,P00032,CH00001,2,2.67
251,2021-06-30,C0086,P00034,CH00003,3,3.12
252,2022-04-30,C0007,P00035,CH00002,1,26.36
253,2024-08-31,C0058,P00053,CH00002,3,29.07
254,2021-05-31,C0038,P00032,CH00001,9,12.41
255,2021-08-31,C0054,P00031,CH00003,7,5.19
256,2023-02-28,C0054,P00029,CH00003,2,12.4
257,2021-04-30,C0037,P00038,CH00002,8,12.15
258,2022-12-31,C0095,P00059,CH00002,2,18.16
259,2022-01-31,C0082,P00021,CH00003,1,17.31
260,2023-01-31,C0072,P00026,CH00003,1,7.25
261,2022-06-30,C0031,P00022,CH00003,8,12.1
262,2021-07-31,C0063,P00032,CH00003,1,17.03
263,2023-01-31,C0032,P00019,CH00001,10,4.65
264,2022-07-31,C0008,P00037,CH00001,1,15.87
265,2021-05-31,C0076,P00046,CH00001,1,2.71
266,2022-06-30,C0066,P00036,CH00003,3,21.1
267,2022-11-30,C0013,P00049,CH00001,2,29.86
268,2022-11-30,C0059,P00057,CH00003,7,19.89
269,2022-12-31,C0048,P00034,CH00001,8,6.97
270,2021-01-31,C0019,P00047,CH00003,4,9.43
271,2024-01-31,C0044,P00049,CH00003,9,23.17
272,2022-08-31,C0073,P00048,CH00001,7,6.3
273,2021-06-30,C0026,P00047,CH00002,1,6.47
274,2023-05-31,C0038,P00040,CH00001,8,15.14
275,2024-04-30,C0037,P00034,CH00003,8,6.31
276,2023-06-30,C0055,P00047,CH00003,1,24.86
277,2023-04-30,C0063,P00005,CH00003,1,27.48
278,2024-10-31,C0058,P00023,CH00001,1,23.16
279,2022-11-30,C0100,P00019,CH00002,9,3.34
280,2021-09-30,C0076,P00023,CH00003,3,28.64
281,2021-10-31,C0028,P00051,CH00001,8,12.74
282,2021-01-31,C0077,P00035,CH00002,8,23.53
283,2021-03-31,C0083,P00029,CH00003,7,11.95
284,2021-06-30,C0003,P00024,CH00003,2,1.78
285,2021-05-31,C0072,P00047,CH00001,1,13.21
286,2022-04-30,C0047,P00042,CH00002,6,22.63
287,2024-02-29,C0045,P00012,CH00003,6,4.66
288,2024-10-31,C0081,P00024,CH00003,10,27.16
289,2021-10-31,C0015,P00002,CH00002,9,18.16
290,2024-01-31,C0080,P00008,CH00002,5,29.56
291,2022-03-31,C0008,P00037,CH00001,5,10.73
292,2022-03-31,C0057,P00028,CH00001,8,4.92
293,2022-11-30,C0086,P00021,CH00002,1,2.53
294,2022-07-31,C0026,P00034,CH00001,10,13.14
295,2024-09-30,C0026,P00026,CH00003,8,9.3
296,2024-05-31,C0093,P00032,CH00003,10,3.42
297,2024-04-30,C0027,P00053,CH00001,10,17.8
298,2021-04-30,C0072,P00057,CH00001,8,4.23
299,2022-03-31,C0057,P00037,CH00002,9,0.62
300,2022-12-31,C0065,P00006,CH00001,10,11.13
301,2021-09-30,C0029,P00057,CH00002,2,0.6
302,2022-03-31,C0011,P00044,CH00002,7,9.38
303,2022-07-31,C0020,P00014,CH00002,4,5.47
304,2022-01-31,C0016,P00012,CH00003,3,6.1
305,2023-06-30,C0025,P00039,CH00002,2,21.1
306,2024-02-29,C0034,P00046,CH00001,1,1.8
307,2024-11-30,C0007,P00017,CH00001,10,6.21
308,2021-12-31,C0057,P00051,CH00003,2,24.58
309,2023-08-31,C0067,P00037,CH00003,5,7.86
310,2024-12-31,C0078,P00006,CH00001,1,22.81
311,2024-05-31,C0042,P00045,CH00002,7,0.69
312,2022-10-31,C0048,P00029,CH00001,2,0.14
313,2024-08-31,C0051,P00058,CH00002,3,15.02
314,2022-11-30,C0074,P00056,CH00002,7,2.35
315,2023-07-31,C0064,P00019,CH00001,3,16.58
316,2024-01-31,C0019,P00043,CH00003,7,22.11
317,2021-01-31,C0059,P00055,CH00001,9,15.77
318,2021-03-31,C0028,P00027,CH00003,4,16.3
319,2022-02-28,C0051,P00033,CH00001,6,16.27
320,2024-10-31,C0038,P00026,CH00003,7,2.47
321,2023-02-28,C0040,P00049,CH00002,5,23.4
322,2023-02-28,C0010,P00026,CH00001,6,20.22
323,2021-06-30,C0082,P00058,CH00003,6,29.81
324,2023-08-31,C0042,P00021,CH00001,5,24.99
325,2023-06-30,C0024,P00012,CH00003,1,24.14
326,2021-08-31,C0043,P00001,CH00001,8,22.08
327,2023-05-31,C0056,P00043,CH00002,4,7.98
328,2023-03-31,C0079,P00049,CH00003,3,17.64
329,2023-02-28,C0065,P00008,CH00002,3,8.45
330,2022-10-31,C0087,P00049,CH00002,1,6.25
331,2023-03-31,C0068,P00010,CH00001,6,17.32
332,2021-02-28,C0089,P00036,CH00001,1,13.82
333,2021-12-31,C0008,P00054,CH00001,8,6.59
334,2024-11-30,C0048,P00023,CH00003,1,24.35
335,2023-07-31,C0070,P00017,CH00001,5,3.85
336,2021-10-31,C0063,P00004,CH00002,7,6.54
337,2021-10-31,C0096,P00028,CH00001,10,3.59
338,2023-05-31,C0046,P00028,CH00001,8,25.24
339,2022-03-31,C0080,P00008,CH00001,7,18.89
340,2024-09-30,C0092,P00043,CH00002,5,4.84
341,2024-11-30,C0021,P00013,CH00002,8,10.92
342,2024-04-30,C0061,P00058,CH00002,3,7.83
343,2021-05-31,C0087,P00030,CH00003,7,3.01
344,2024-06-30,C0009,P00041,CH00001,7,8.34
345,2022-12-31,C0031,P00011,CH00001,8,22.2
346,2023-10-31,C0016,P00021,CH00001,1,22.42
347,2023-04-30,C0016,P00050,CH00003,4,6.78
348,2021-04-30,C0003,P00059,CH00002,5,13.82
349,2021-06-30,C0077,P00025,CH00002,2,20.3
350,2024-11-30,C0040,P00004,CH00003,7,21.32
351,2023-05-31,C0075,P00050,CH00003,5,17.38
352,2024-10-31,C0038,P00023,CH00002,1,6.24
353,2023-01-31,C0010,P00009,CH00002,9,16.29
354,2024-11-30,C0078,P00003,CH00003,5,1.86
355,2023-05-31,C0003,P00033,CH00003,1,27.44
356,2022-11-30,C0056,P00029,CH00003,10,10.04
357,2022-10-31,C0019,P00051,CH00002,10,15.87
358,2022-02-28,C0040,P00028,CH00001,7,5.06
359,2022-09-30,C0092,P00034,CH00001,10,10.9
360,2022-02-28,C0019,P00007,CH00003,5,5.06
361,2022-04-30,C0089,P00033,CH00002,6,22.24
362,2024-07-31,C0001,P00039,CH00003,10,8.33
363,2022-02-28,C0008,P00005,CH00002,9,4.71
364,2021-05-31,C0070,P00029,CH00003,5,8.91
365,2024-02-29,C0082,P00010,CH00001,4,3.75
366,2022-02-28,C0095,P00043,CH00003,4,2.69
367,2024-07-31,C0075,P00059,CH00002,9,5.17
368,2024-07-31,C0048,P00042,CH00001,9,24.49
369,2022-12-31,C0091,P00058,CH00001,9,20.9
370,2022-09-30,C0019,P00029,CH00001,6,18.79
371,2021-09-30,C0057,P00035,CH00001,1,24.94
372,2023-01-31,C0049,P00014,CH00001,2,19.63
373,2024-10-31,C0066,P00015,CH00003,1,0.1
374,2023-11-30,C0073,P00057,CH00002,4,7.94
375,2024-09-30,C0015,P00042,CH00003,10,13.94
376,2022-07-31,C0041,P00056,CH00002,6,17.43
377,2021-08-31,C0018,P00031,CH00002,8,29.89
378,2022-02-28,C0089,P00037,CH00002,5,0.38
379,2023-03-31,C0027,P00032,CH00002,9,6.32
380,2023-11-30,C0084,P00046,CH00002,9,15.25
381,2024-03-31,C0030,P00027,CH00003,2,0.52
382,2023-07-31,C0019,P00049,CH00003,3,27.01
383,2022-06-30,C0069,P00019,CH00003,5,7.82
384,2023-12-31,C0058,P00014,CH00002,3,5.56
385,2022-04-30,C0093,P00011,CH00002,2,0.89
386,2024-08-31,C0089,P00016,CH00002,8,1.52
387,2023-07-31,C0083,P00035,CH00003,8,19.78
388,2021-08-31,C0065,P00003,CH00003,9,1.36
389,2024-12-31,C0072,P00049,CH00001,8,13.06
390,2023-08-31,C0030,P00001,CH00002,4,22.63
391,2024-05-31,C0088,P00020,CH00001,2,1.17
392,2024-01-31,C0033,P00045,CH00002,2,28.21
393,2023-10-31,C0009,P00052,CH00003,2,16.54
394,2023-03-31,C0061,P00037,CH00003,9,15.98
395,2023-05-31,C0012,P00029,CH00001,8,9.88
396,2024-12-31,C0063,P00026,CH00001,5,8.81
397,2024-09-30,C0065,P00004,CH00003,2,15.54
398,2024-07-31,C0097,P00060,CH00001,8,10.83
399,2022-02-28,C0031,P00042,CH00001,2,24.9
400,2024-03-31,C0082,P00045,CH00001,3,8.89
401,2021-01-31,C0063,P00022,CH00002,8,20.82
402,2023-10-31,C0034,P00060,CH00001,2,0.22
403,2023-07-31,C0071,P00029,CH00003,5,6.73
404,2021-12-31,C0019,P00045,CH00001,8,15.33
405,2021-06-30,C0030,P00017,CH00002,1,23.85
406,2022-01-31,C0065,P00011,CH00002,9,5.71
407,2023-06-30,C0094,P00012,CH00001,1,7.74
408,2023-03-31,C0097,P00024,CH00001,1,5.85
409,2022-02-28,C0088,P00051,CH00001,7,0.4
410,2024-07-31,C0036,P00017,CH00003,9,5.96
411,2022-02-28,C0057,P00057,CH00003,5,23.66
412,2022-06-30,C0095,P00024,CH00002,10,18.17
413,2021-08-31,C0025,P00019,CH00003,2,13.28
414,2023-07-31,C0073,P00024,CH00003,4,3.95
415,2021-09-30,C0055,P00044,CH00003,4,6.95
416,2024-10-31,C0054,P00016,CH00002,6,5.2
417,2023-07-31,C0045,P00004,CH00002,4,13.24
418,2022-03-31,C0067,P00006,CH00001,5,0.84
419,2022-03-31,C0029,P00055,CH00003,1,14.97
420,2023-11-30,C0018,P00029,CH00002,3,11.45
421,2022-09-30,C0084,P00054,CH00001,8,14.36
422,2021-11-30,C0018,P00043,CH00003,10,5.04
423,2024-07-31,C0028,P00018,CH00002,4,4.7
424,2021-11-30,C0040,P00010,CH00003,8,22.17
425,2023-02-28,C0058,P00046,CH00003,8,27.83
426,2022-10-31,C0032,P00027,CH00001,8,5.89
427,2024-01-31,C0013,P00006,CH00003,4,8.36
428,2023-10-31,C0067,P00059,CH00002,1,18.78
429,2024-02-29,C0069,P00048,CH00002,8,10.41
430,2022-03-31,C0045,P00052,CH00003,6,26.95
431,2023-07-31,C0017,P00054,CH00002,6,15.13
432,2021-08-31,C0053,P00036,CH00001,6,1.77
433,2021-08-31,C0008,P00036,CH00002,5,2.31
434,2021-03-31,C0019,P00033,CH00003,5,26.73
435,2023-11-30,C0098,P00009,CH00002,4,18.05
436,2024-07-31,C0071,P00012,CH00003,5,21.55
437,2021-08-31,C0038,P00006,CH00002,1,20.06
438,2023-05-31,C0043,P00052,CH00003,3,9.87
439,2024-09-30,C0059,P00002,CH00002,2,19.68
440,2021-05-31,C0053,P00009,CH00002,3,10.97
441,2023-12-31,C0077,P00023,CH00002,4,17.12
442,2023-11-30,C0064,P00017,CH00003,5,6.05
443,2023-07-31,C0014,P00055,CH00002,7,4.54
444,2022-05-31,C0098,P00054,CH00001,4,15.19
445,2021-02-28,C0077,P00026,CH00002,8,23.44
446,2021-06-30,C0058,P00002,CH00001,7,23.76
447,2022-09-30,C0090,P00001,CH00002,9,4.79
448,2021-11-30,C0076,P00017,CH00001,9,2.82
449,2023-02-28,C0039,P00014,CH00002,3,3.4
450,2023-09-30,C0032,P00039,CH00002,10,7.94
451,2023-10-31,C0047,P00039,CH00003,9,18.54
452,2024-04-30,C0013,P00028,CH00003,4,21.71
453,2024-08-31,C0043,P00058,CH00002,8,18.92
454,2021-04-30,C0095,P00044,CH00002,4,22.43
455,2024-03-31,C0097,P00048,CH00002,5,10.41
456,2023-11-30,C0063,P00007,CH00002,9,21.47
457,2024-05-31,C0011,P00055,CH00002,1,25.74
458,2022-05-31,C0003,P00030,CH00002,8,5.29
459,2021-12-31,C0001,P00027,CH00003,3,1.93
460,2021-02-28,C0002,P00039,CH00003,10,25.52
461,2021-03-31,C0055,P00027,CH00002,7,13.0
462,2024-07-31,C0076,P00059,CH00002,1,2.04
463,2021-12-31,C0098,P00030,CH00003,8,3.74
464,2024-10-31,C0087,P00042,CH00001,6,28.79
465,2022-01-31,C0008,P00054,CH00002,10,13.69
466,2024-07-31,C0069,P00014,CH00001,3,17.49
467,2023-07-31,C0067,P00046,CH00001,6,12.2
468,2024-09-30,C0080,P00039,CH00001,6,17.06
469,2024-10-31,C0085,P00024,CH00001,8,29.67
470,2023-03-31,C0008,P00022,CH00002,10,13.3
471,2023-03-31,C0087,P00005,CH00002,4,3.37
472,2022-06-30,C0011,P00009,CH00002,6,10.43
473,2023-02-28,C0019,P00004,CH00002,2,13.1
474,2022-08-31,C0039,P00002,CH00001,9,20.15
475,2021-04-30,C0019,P00060,CH00002,10,13.87
476,2024-12-31,C0051,P00040,CH00003,7,11.55
477,2023-01-31,C0006,P00024,CH00001,9,27.78
478,2023-12-31,C0038,P00014,CH00001,10,29.71
479,2023-08-31,C0059,P00009,CH00003,6,19.62
480,2021-09-30,C0074,P00052,CH00001,3,26.21
481,2021-03-31,C0093,P00002,CH00002,5,5.77
482,2024-05-31,C0027,P00040,CH00002,10,26.56
483,2024-12-31,C0024,P00060,CH00003,4,21.07
484,2021-12-31,C0008,P00020,CH00003,5,8.92
485,2022-05-31,C0001,P00035,CH00001,4,10.21
486,2024-08-31,C0100,P00045,CH00003,10,28.59
487,2023-05-31,C0069,P00006,CH00003,4,21.23
488,2021-11-30,C0047,P00056,CH00001,4,13.61
489,2024-10-31,C0092,P00006,CH00003,8,19.5
490,2024-08-31,C0075,P00027,CH00001,8,26.07
491,2024-12-31,C0078,P00060,CH00003,5,8.47
492,2024-05-31,C0043,P00004,CH00002,2,23.84
493,2021-01-31,C0040,P00011,CH00003,10,18.1
494,2021-01-31,C0038,P00058,CH00002,4,25.93
495,2021-08-31,C0012,P00058,CH00003,4,5.41
496,2024-08-31,C0024,P00050,CH00001,3,8.96
